id,duration,Rating,action,adventure,biography,comedy,crime,drama,family,fantasy,history,horror,mystery,romance,scifi,thriller,war,western,musical,animation,sport,music,noir,yearPublished,monthPublished,budget,gross,disney,warner,sony,universal,fox,paramount,summit,dimension,mgm,dreamworks,marvel,miramax,columbia,united,utv,pixomondo,dharma,productionCorpsOthers,contentRating,language,location,tfidf1,tfidf2,tfidf3,tfidf4
32,130,59,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2013,8,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,8,33,3,0
33,125,80,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,5,54,3,0
34,110,60,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,11,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,9,65,5,0
35,116,66,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,5,18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,3,25,0,0
36,83,76,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1989,11,17,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,10,9,27,1,0
37,83,76,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1938,2,14,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,10,3,30,2,0
38,95,73,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,10,17,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10,6,45,0,0
39,104,68,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2008,2,16,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,12,53,2,1
40,126,75,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,11,18,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,13,33,5,0
41,107,71,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007,11,18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,9,37,1,0
42,101,80,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1993,2,16,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,7,23,1,0
