gross,duration,Rating,action,adventure,biography,comedy,crime,drama,family,fantasy,history,horror,mystery,romance,scifi,thriller,war,western,musical,animation,sport,music,noir,yearPublished,monthPublished,budget,disney,warner,sony,universal,fox,paramount,summit,dimension,mgm,dreamworks,marvel,miramax,columbia,united,utv,pixomondo,dharma,productionCorpsOthers,contentRating,language,location,tfidf1,tfidf2,tfidf3,tfidf4
18,107,64,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,6,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,12,26,3,0
18,104,73,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,6,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,13,21,3,0
17,107,68,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,8,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,5,28,1,0
19,93,72,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2004,5,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,10,12,22,1,1
14,104,72,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,19,3,0
17,107,71,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2009,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,5,23,1,0
18,97,69,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,6,33,2,0
18,114,59,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,11,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,8,23,1,0
17,100,58,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2009,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,12,33,2,0
17,140,74,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,10,4,28,6,0
